,dateBegin1,Anteil
0,20200515.0,32.0
2,20200518.0,41.0
4,20200519.0,38.0
6,20200520.0,34.0
8,20200522.0,4.0
10,20200525.0,40.0
12,20200526.0,45.0
14,20200527.0,51.0
16,20200528.0,38.0
18,20200529.0,26.0
20,20200602.0,45.0
22,20200603.0,51.0
24,20200604.0,47.0
26,20200605.0,33.0
28,20200608.0,51.0
30,20200609.0,55.0
32,20200610.0,49.0
34,20200612.0,14.0
36,20200615.0,46.0
38,20200616.0,48.0
40,20200617.0,49.0
42,20200618.0,46.0
44,20200619.0,37.0
46,20200622.0,53.0
48,20200623.0,47.0
50,20200624.0,47.0
52,20200625.0,41.0
54,20200626.0,30.0
56,20200629.0,43.0
58,20200630.0,48.0
60,20200701.0,53.0
62,20200702.0,42.0
64,20200703.0,35.0
66,20200706.0,51.0
68,20200707.0,45.0
70,20200708.0,47.0
72,20200709.0,46.0
74,20200710.0,37.0
76,20200713.0,45.0
78,20200714.0,45.0
80,20200715.0,44.0
82,20200716.0,44.0
84,20200717.0,37.0
86,20200720.0,43.0
88,20200721.0,46.0
90,20200722.0,40.0
92,20200723.0,36.0
94,20200724.0,32.0
96,20200727.0,41.0
98,20200728.0,38.0
100,20200729.0,42.0
102,20200730.0,39.0
104,20200731.0,26.0
106,20200803.0,41.0
108,20200804.0,37.0
110,20200805.0,41.0
112,20200806.0,29.0
114,20200807.0,28.0
116,20200810.0,47.0
118,20200811.0,42.0
120,20200812.0,44.0
122,20200813.0,29.0
124,20200814.0,26.0
126,20200817.0,42.0
128,20200818.0,45.0
130,20200819.0,42.0
132,20200820.0,39.0
134,20200821.0,30.0
136,20200824.0,40.0
138,20200825.0,45.0
140,20200826.0,40.0
142,20200827.0,39.0
144,20200828.0,22.0
146,20200831.0,30.0
148,20200901.0,41.0
150,20200902.0,34.0
152,20200903.0,39.0
154,20200904.0,28.0
156,20200907.0,34.0
158,20200908.0,32.0
160,20200909.0,30.0
162,20200910.0,30.0
164,20200911.0,24.0
166,20200914.0,30.0
168,20200915.0,33.0
170,20200916.0,38.0
172,20200917.0,31.0
174,20200918.0,29.0
176,20200921.0,43.0
178,20200922.0,46.0
180,20200923.0,44.0
182,20200924.0,36.0
184,20200925.0,30.0
186,20200928.0,43.0
188,20200929.0,41.0
190,20200930.0,46.0
192,20201001.0,47.0
194,20201002.0,28.0
196,20201005.0,43.0
198,20201006.0,40.0
200,20201007.0,36.0
202,20201008.0,44.0
204,20201009.0,32.0
206,20201012.0,30.0
208,20201013.0,31.0
210,20201014.0,32.0
212,20201015.0,31.0
214,20201016.0,22.0
216,20201019.0,32.0
218,20201020.0,39.0
220,20201021.0,42.0
222,20201022.0,37.0
224,20201023.0,22.0
226,20201026.0,35.0
228,20201027.0,43.0
230,20201028.0,40.0
232,20201029.0,41.0
234,20201030.0,32.0
236,20201102.0,33.0
238,20201103.0,41.0
240,20201104.0,40.0
242,20201105.0,39.0
244,20201106.0,30.0
246,20201109.0,34.0
248,20201110.0,43.0
250,20201111.0,41.0
252,20201112.0,42.0
254,20201113.0,31.0
