id,building,floor,orientation,deskNo
127,A,1,NE,20
128,A,1,NE,19
129,A,1,NE,17
130,A,1,NE,18
131,A,1,NE,16
132,A,1,NE,15
133,A,1,NE,13
134,A,1,NE,12
135,A,1,NE,11
136,A,1,NE,10
137,A,1,NE,9
138,A,1,NE,8
139,A,1,NE,7
140,A,1,NE,6
141,A,1,NE,5
142,A,1,NE,4
143,A,1,NE,3
144,A,1,NE,2
145,A,1,NE,1
147,A,1,SE,41
148,A,1,SE,40
149,A,1,SE,39
150,A,1,SE,38
151,A,1,SE,37
152,A,1,SE,36
153,A,1,SE,35
154,A,1,SE,34
155,A,1,SE,33
156,A,1,SE,19
157,A,1,SE,21
158,A,1,SE,18
159,A,1,SE,17
160,A,1,SE,16
161,A,1,SE,15
162,A,1,SE,14
163,A,1,SE,13
164,A,1,SE,10
165,A,1,SE,11
166,A,1,SE,7
167,A,1,SE,9
168,A,1,SE,6
169,A,1,SE,4
170,A,1,SE,2
171,A,1,SE,3
172,A,1,SE,1
173,A,1,SE,30
174,A,1,SE,5
175,A,1,SE,31
176,A,1,SE,28
177,A,1,SE,22
178,A,1,SE,26
179,A,1,SE,23
180,A,1,SE,24
181,A,1,SE,25
182,A,1,NW,1
183,A,1,NW,2
184,A,1,NW,8
185,A,1,NW,5
186,A,1,NW,6
187,A,1,NW,11
188,A,1,NW,10
189,A,1,NW,12
190,A,1,NW,25
191,A,1,NW,28
192,A,1,NW,30
193,A,1,NW,32
194,A,1,NW,29
195,A,1,NW,34
196,A,1,NW,31
197,A,1,NW,36
198,A,1,NW,33
199,A,1,NW,38
200,A,1,NW,35
201,A,1,NW,42
202,A,1,NW,39
203,A,1,NW,47
204,A,1,NW,43
205,A,1,NW,45
206,A,1,NW,48
207,A,1,NW,51
208,A,1,NW,46
209,A,1,NW,53
210,A,1,NW,50
211,A,1,NW,52
212,A,1,NW,24
213,A,1,NW,22
214,A,1,NW,23
215,A,1,NW,18
216,A,1,NW,21
217,A,1,NW,17
218,A,1,NW,20
219,A,1,NW,15
220,A,1,NW,14
221,A,1,NW,13
222,A,1,NE,21
223,A,1,NE,23
224,A,1,NE,22
225,A,1,NE,25
226,A,1,NE,24
227,A,1,NE,30
228,A,1,NE,27
229,A,1,NE,29
230,A,1,NE,34
231,A,1,NE,33
232,A,1,NE,36
233,A,1,NE,35
234,A,1,NE,38
235,A,1,NE,37
236,A,1,NE,40
237,A,1,NE,39
238,A,1,NE,14
239,A,1,SW,4
240,A,1,SW,2
241,A,1,SW,5
242,A,1,SW,3
243,A,1,SW,10
244,A,1,SW,12
245,A,1,SW,14
246,A,1,SW,15
247,A,1,SW,16
248,A,1,SW,18
249,A,1,SW,21
250,A,1,SW,19
251,A,1,SW,22
252,A,1,SW,23
253,A,1,SW,24
254,A,1,SW,25
255,A,1,SW,26
256,A,1,SW,27
257,A,1,SW,28
258,A,1,SW,29
259,A,1,SW,50
260,A,1,SW,51
261,A,1,SW,48
262,A,1,SW,49
263,A,1,SW,47
264,A,1,SW,46
265,A,1,SW,41
266,A,1,SW,45
267,A,1,SW,42
268,A,1,SW,39
269,A,1,SW,40
270,A,1,SW,37
271,A,1,SW,38
272,A,1,SW,36
273,A,1,SW,35
274,A,1,SW,33
275,A,1,SW,34
276,B,3,SE,12
277,B,3,SE,9
278,B,3,SE,11
279,B,3,SE,8
280,B,3,SE,10
281,B,3,SE,6
282,B,3,SE,3
283,B,3,SE,1
284,B,3,SE,4
285,B,3,SE,2
286,B,3,SE,23
287,B,3,SE,14
288,B,3,SE,24
289,B,3,SE,22
290,B,3,SE,18
291,B,3,SE,16
292,B,3,SE,17
293,B,3,SE,21
294,B,3,SE,20
295,B,3,SE,19
296,B,3,NE,11
