,dateBegin,count
0,2020-05-15,49
1,2020-05-18,91
2,2020-05-19,83
3,2020-05-20,91
4,2020-05-22,21
5,2020-05-25,103
6,2020-05-26,96
7,2020-05-27,115
8,2020-05-28,90
9,2020-05-29,61
10,2020-06-02,104
11,2020-06-03,144
12,2020-06-04,157
13,2020-06-05,103
14,2020-06-08,150
15,2020-06-09,164
16,2020-06-10,155
17,2020-06-12,53
18,2020-06-15,147
19,2020-06-16,148
20,2020-06-17,140
21,2020-06-18,133
22,2020-06-19,115
23,2020-06-22,154
24,2020-06-23,214
25,2020-06-24,201
26,2020-06-25,175
27,2020-06-26,124
28,2020-06-29,192
29,2020-06-30,191
30,2020-07-01,218
31,2020-07-02,200
32,2020-07-03,131
33,2020-07-06,227
34,2020-07-07,211
35,2020-07-08,217
36,2020-07-09,199
37,2020-07-10,139
38,2020-07-13,217
39,2020-07-14,211
40,2020-07-15,208
41,2020-07-16,212
42,2020-07-17,141
43,2020-07-20,215
44,2020-07-21,213
45,2020-07-22,200
46,2020-07-23,188
47,2020-07-24,142
48,2020-07-27,199
49,2020-07-28,195
50,2020-07-29,196
51,2020-07-30,169
52,2020-07-31,102
53,2020-08-03,195
54,2020-08-04,173
55,2020-08-05,179
56,2020-08-06,168
57,2020-08-07,111
58,2020-08-10,192
59,2020-08-11,178
60,2020-08-12,186
61,2020-08-13,167
62,2020-08-14,119
63,2020-08-17,177
64,2020-08-18,170
65,2020-08-19,176
66,2020-08-20,170
67,2020-08-21,134
68,2020-08-24,161
69,2020-08-25,181
70,2020-08-26,172
71,2020-08-27,166
72,2020-08-28,93
73,2020-08-31,140
74,2020-09-01,179
75,2020-09-02,158
76,2020-09-03,168
77,2020-09-04,110
78,2020-09-07,165
79,2020-09-08,165
80,2020-09-09,165
81,2020-09-10,157
82,2020-09-11,110
83,2020-09-14,162
84,2020-09-15,155
85,2020-09-16,168
86,2020-09-17,152
87,2020-09-18,117
88,2020-09-21,156
89,2020-09-22,180
90,2020-09-23,185
91,2020-09-24,174
92,2020-09-25,101
93,2020-09-28,184
94,2020-09-29,160
95,2020-09-30,171
96,2020-10-01,181
97,2020-10-02,117
98,2020-10-05,177
99,2020-10-06,164
100,2020-10-07,167
101,2020-10-08,178
102,2020-10-09,116
103,2020-10-12,127
104,2020-10-13,135
105,2020-10-14,119
106,2020-10-15,139
107,2020-10-16,69
108,2020-10-19,104
109,2020-10-20,111
110,2020-10-21,120
111,2020-10-22,113
112,2020-10-23,71
113,2020-10-26,149
114,2020-10-27,125
115,2020-10-28,133
116,2020-10-29,136
117,2020-10-30,87
118,2020-11-02,118
119,2020-11-03,151
120,2020-11-04,132
121,2020-11-05,130
122,2020-11-06,107
123,2020-11-09,138
124,2020-11-10,157
125,2020-11-11,142
126,2020-11-12,133
127,2020-11-13,93
128,2020-11-16,135
129,2020-11-17,21
