,dateBegin,count,Difference
1,2020-05-18,91,42.0
2,2020-05-19,83,-8.0
3,2020-05-20,91,8.0
4,2020-05-22,21,-70.0
5,2020-05-25,103,82.0
6,2020-05-26,96,-7.0
7,2020-05-27,115,19.0
8,2020-05-28,90,-25.0
9,2020-05-29,61,-29.0
10,2020-06-02,104,43.0
11,2020-06-03,144,40.0
12,2020-06-04,157,13.0
13,2020-06-05,103,-54.0
14,2020-06-08,150,47.0
15,2020-06-09,164,14.0
16,2020-06-10,155,-9.0
17,2020-06-12,53,-102.0
18,2020-06-15,147,94.0
19,2020-06-16,148,1.0
20,2020-06-17,140,-8.0
21,2020-06-18,133,-7.0
22,2020-06-19,115,-18.0
23,2020-06-22,154,39.0
24,2020-06-23,214,60.0
25,2020-06-24,201,-13.0
26,2020-06-25,175,-26.0
27,2020-06-26,124,-51.0
28,2020-06-29,192,68.0
29,2020-06-30,191,-1.0
30,2020-07-01,218,27.0
31,2020-07-02,200,-18.0
32,2020-07-03,131,-69.0
33,2020-07-06,227,96.0
34,2020-07-07,211,-16.0
35,2020-07-08,217,6.0
36,2020-07-09,199,-18.0
37,2020-07-10,139,-60.0
38,2020-07-13,217,78.0
39,2020-07-14,211,-6.0
40,2020-07-15,208,-3.0
41,2020-07-16,212,4.0
42,2020-07-17,141,-71.0
43,2020-07-20,215,74.0
44,2020-07-21,213,-2.0
45,2020-07-22,200,-13.0
46,2020-07-23,188,-12.0
47,2020-07-24,142,-46.0
48,2020-07-27,199,57.0
49,2020-07-28,195,-4.0
50,2020-07-29,196,1.0
51,2020-07-30,169,-27.0
52,2020-07-31,102,-67.0
53,2020-08-03,195,93.0
54,2020-08-04,173,-22.0
55,2020-08-05,179,6.0
56,2020-08-06,168,-11.0
57,2020-08-07,111,-57.0
58,2020-08-10,192,81.0
59,2020-08-11,178,-14.0
60,2020-08-12,186,8.0
61,2020-08-13,167,-19.0
62,2020-08-14,119,-48.0
63,2020-08-17,177,58.0
64,2020-08-18,170,-7.0
65,2020-08-19,176,6.0
66,2020-08-20,170,-6.0
67,2020-08-21,134,-36.0
68,2020-08-24,161,27.0
69,2020-08-25,181,20.0
70,2020-08-26,172,-9.0
71,2020-08-27,166,-6.0
72,2020-08-28,93,-73.0
73,2020-08-31,140,47.0
74,2020-09-01,179,39.0
75,2020-09-02,158,-21.0
76,2020-09-03,168,10.0
77,2020-09-04,110,-58.0
78,2020-09-07,165,55.0
79,2020-09-08,165,0.0
80,2020-09-09,165,0.0
81,2020-09-10,157,-8.0
82,2020-09-11,110,-47.0
83,2020-09-14,162,52.0
84,2020-09-15,155,-7.0
85,2020-09-16,168,13.0
86,2020-09-17,152,-16.0
87,2020-09-18,117,-35.0
88,2020-09-21,156,39.0
89,2020-09-22,180,24.0
90,2020-09-23,185,5.0
91,2020-09-24,174,-11.0
92,2020-09-25,101,-73.0
93,2020-09-28,184,83.0
94,2020-09-29,160,-24.0
95,2020-09-30,171,11.0
96,2020-10-01,181,10.0
97,2020-10-02,117,-64.0
98,2020-10-05,177,60.0
99,2020-10-06,164,-13.0
100,2020-10-07,167,3.0
101,2020-10-08,178,11.0
102,2020-10-09,116,-62.0
103,2020-10-12,127,11.0
104,2020-10-13,135,8.0
105,2020-10-14,119,-16.0
106,2020-10-15,139,20.0
107,2020-10-16,69,-70.0
108,2020-10-19,104,35.0
109,2020-10-20,111,7.0
110,2020-10-21,120,9.0
111,2020-10-22,113,-7.0
112,2020-10-23,71,-42.0
113,2020-10-26,149,78.0
114,2020-10-27,125,-24.0
115,2020-10-28,133,8.0
116,2020-10-29,136,3.0
117,2020-10-30,87,-49.0
118,2020-11-02,118,31.0
119,2020-11-03,151,33.0
120,2020-11-04,132,-19.0
121,2020-11-05,130,-2.0
122,2020-11-06,107,-23.0
123,2020-11-09,138,31.0
124,2020-11-10,157,19.0
125,2020-11-11,142,-15.0
126,2020-11-12,133,-9.0
127,2020-11-13,93,-40.0
128,2020-11-16,135,42.0
129,2020-11-17,21,-114.0
