,dateBegin,count
0,20200515.0,49
1,20200518.0,91
2,20200519.0,83
3,20200520.0,91
4,20200522.0,21
5,20200525.0,103
6,20200526.0,96
7,20200527.0,115
8,20200528.0,90
9,20200529.0,61
10,20200602.0,104
11,20200603.0,144
12,20200604.0,157
13,20200605.0,103
14,20200608.0,150
15,20200609.0,164
16,20200610.0,155
17,20200612.0,53
18,20200615.0,147
19,20200616.0,148
20,20200617.0,140
21,20200618.0,133
22,20200619.0,115
23,20200622.0,154
24,20200623.0,214
25,20200624.0,201
26,20200625.0,175
27,20200626.0,124
28,20200629.0,192
29,20200630.0,191
30,20200701.0,218
31,20200702.0,200
32,20200703.0,131
33,20200706.0,227
34,20200707.0,211
35,20200708.0,217
36,20200709.0,199
37,20200710.0,139
38,20200713.0,217
39,20200714.0,211
40,20200715.0,208
41,20200716.0,212
42,20200717.0,141
43,20200720.0,215
44,20200721.0,213
45,20200722.0,200
46,20200723.0,188
47,20200724.0,142
48,20200727.0,199
49,20200728.0,195
50,20200729.0,196
51,20200730.0,169
52,20200731.0,102
53,20200803.0,195
54,20200804.0,173
55,20200805.0,179
56,20200806.0,168
57,20200807.0,111
58,20200810.0,192
59,20200811.0,178
60,20200812.0,186
61,20200813.0,167
62,20200814.0,119
63,20200817.0,177
64,20200818.0,170
65,20200819.0,176
66,20200820.0,170
67,20200821.0,134
68,20200824.0,161
69,20200825.0,181
70,20200826.0,172
71,20200827.0,166
72,20200828.0,93
73,20200831.0,140
74,20200901.0,179
75,20200902.0,158
76,20200903.0,168
77,20200904.0,110
78,20200907.0,165
79,20200908.0,165
80,20200909.0,165
81,20200910.0,157
82,20200911.0,110
83,20200914.0,162
84,20200915.0,155
85,20200916.0,168
86,20200917.0,152
87,20200918.0,117
88,20200921.0,156
89,20200922.0,180
90,20200923.0,185
91,20200924.0,174
92,20200925.0,101
93,20200928.0,184
94,20200929.0,160
95,20200930.0,171
96,20201001.0,181
97,20201002.0,117
98,20201005.0,177
99,20201006.0,164
100,20201007.0,167
101,20201008.0,178
102,20201009.0,116
103,20201012.0,127
104,20201013.0,135
105,20201014.0,119
106,20201015.0,139
107,20201016.0,69
108,20201019.0,104
109,20201020.0,111
110,20201021.0,120
111,20201022.0,113
112,20201023.0,71
113,20201026.0,149
114,20201027.0,125
115,20201028.0,133
116,20201029.0,136
117,20201030.0,87
118,20201102.0,118
119,20201103.0,151
120,20201104.0,132
121,20201105.0,130
122,20201106.0,107
123,20201109.0,138
124,20201110.0,157
125,20201111.0,142
126,20201112.0,133
127,20201113.0,93
